"リリースノートの版","区分","種別","機能・変更項目","最新版にも存在する機能か否か","現存判定の補足","note下書きに既に説明が含まれているか","note下書きの該当箇所","未記載・一部記載時の説明推奨度_1to5","推奨理由","noteへの追記案"
"v2.1.1","PoE2","内容更新","GGG公開情報に基づきPoE2ガイドを更新","はい","後続更新を重ねた現行ガイドを収録","済","PoE2モード限定の機能","","",""
"v2.1.0","共通","機能","固定の /hideout ショートカット","いいえ","v3.1.0でPoE本体と重複する固定機能を削除。任意チャットコマンドとして登録可能","一部","共通機能／任意チャットコマンド","1","廃止機能の説明は不要","追記不要"
"v2.1.2","PoE2","機能","検索文字列の文字数カウントと上限警告","はい","後続仕様変更に合わせた上限で警告","一部","PoE2限定／PoE2専用の店売り・スタッシュ検索プリセット","3","長いRegexが貼れない理由を理解しやすい","文字数カウンターと上限警告を追記"
"v2.2.0","PoE2","機能","初心者向け詳細ガイド／中級者向け要約ガイドの切り替え","はい","設定から詳細度を切り替え可能","済","PoE2限定／初心者向け・中級者向けガイドの切り替え","","",""
"v2.2.0","共通","機能","アップデート後も設定・メモ・プリセットを引き継ぐ","はい","ユーザーデータをAPPDATAへ分離保存","済","設定やメモの保存場所／アップデート方法","","",""
"v2.2.0","共通","改善","店売り・スタッシュRegex候補を拡充","はい","プリセット編集UIとRegex補助を継続","一部","共通機能／店売り・スタッシュ検索プリセット","2","細かな候補種類の列挙は記事を重くする","代表例だけ画像で示す"
"v2.2.1","共通","表示","検索プリセット画面にスクロールバーを追加","はい","小さい画面でも全項目へ到達可能","未","","1","通常のUI挙動で説明不要","追記不要"
"v2.2.1","PoE2","修正","Titan Valley／Titan Grottoのエリアレベルを修正","はい","現行zoneデータへ反映","未","","1","個別データ修正で使い方の説明には不要","追記不要"
"v2.2.1","共通","表示","最小化・閉じるボタンをリサイズ領域と重ならない位置へ調整","はい","現行ヘッダーへ反映","未","","1","見た目の修正で説明不要","追記不要"
"v2.2.2","共通","表示","クリックスルーOFF時も状態表示を常時表示","はい","機能の存在と現在状態を確認できる","一部","共通機能／透過表示・クリックスルー・ウィンドウ固定","3","解除方法と状態の見分け方が分かりやすくなる","状態表示の見方を画像注記へ追加"
"v2.2.2","共通","設定","更新通知を同じ版では繰り返さない","はい","新しい版が出るまで再通知を抑制","未","","1","自動的な通知制御で操作説明は不要","追記不要"
"v2.2.2","共通","設定","常に最前面をON／OFF可能","はい","表示設定から変更可能","一部","共通機能／透過表示・クリックスルー・ウィンドウ固定","2","他ウィンドウとの重なり調整に使う","表示設定一覧へ常に最前面を明記"
"v2.3.0","PoE1","機能","ジェム取得ガイド","はい","PoBインポート結果をAct別に表示","済","PoE1限定／PoBインポートとジェム取得リスト","","",""
"v2.4.0","PoE1","機能","ミニマム版ガイド『みになび』","はい","独立した小型ウィンドウで必要情報を表示","済","PoE1限定／みになび","","",""
"v2.4.0","PoE1","改善","進行フラグに応じたガイド切り替え","はい","訪問回数や進行フラグで同一エリアの案内を切り替える","一部","共通機能／エリアに合わせて攻略ガイドを自動表示","3","自動で文章が変わる理由を説明できる","進行状況に応じて同じエリアでも案内が変わる旨を追記"
"v2.5.0","共通","機能","アプリ内自動アップデート","はい","SHA-256検証・バックアップ・復元・再起動まで対応","済","アップデート方法","","",""
"v2.5.0","共通","機能","エリア別メモ","はい","公式ガイドとは別保存で更新後も維持","済","共通機能／ゲーム中メモとエリア別メモ","","",""
"v2.5.0","共通","変更","公式ガイドの直接編集を廃止しエリアメモへ移行","はい","公式ガイドは更新対象、ユーザー記入はエリアメモへ分離","一部","共通機能／ゲーム中メモとエリア別メモ","3","旧動画・旧利用者との仕様差を明確にできる","公式ガイドは編集不可で、追記はエリアメモを使うと明記"
"v2.5.1","PoE1","機能","みになびから本体を最小化／復帰","はい","みになび側の操作から本体表示を切り替え可能","未","","3","みになびだけを重ねたい利用者に有用","みになび操作説明へ本体の最小化／復帰を追記"
"v2.5.2","PoE1","内容更新","Act 1水没した海底洞窟の攻略ルートを更新","はい","現行ガイドデータへ反映","未","","1","個別攻略内容で機能解説記事には不要","追記不要"
"v2.5.2","PoE1","表示","みになび初期サイズと本体リサイズ不具合を調整","はい","現行サイズ・リサイズ処理へ反映","未","","1","見た目と過去不具合の修正で説明不要","追記不要"
"v2.5.3","共通","修正","アップデート時に初期ウィンドウサイズが変わる問題を修正","はい","ユーザー設定を分離保存し現行更新処理へ反映","未","","1","過去の不具合修正で説明不要","追記不要"
"v2.5.4","共通","機能","Steam・GGG・EpicのClient.txtを自動検出・自動設定","はい","既知のインストール先とSteamライブラリから候補を検出する","未","","5","初回設定で自動入力される理由と、手動指定が必要な場合を理解する最重要情報","Client.txt節の冒頭を『通常は自動検出。見つからない場合のみ手動指定』へ修正"
"v2.5.4","共通","機能","エリア移動ごとの区間タイム記録","はい","ラップ欄で直近区間・遅い区間を確認可能","一部","共通機能／RTAタイマーと自動ラップ","4","RTA利用者にとって主要な分析機能","区間タイムと遅い区間の確認方法を追記"
"v2.5.4","共通","機能","タイマー・ガイド・マップ・ジェムを独立ウィンドウへ切り離し","はい","各パネルを切り離し、位置・状態を保持可能","未","","5","画面レイアウトの自由度を大きく変える主要機能","折りたたみUIとは別に『パネルの切り離し』節と画像枠を追加"
"v2.5.4","PoE1","機能","みになびの標準／コンパクト表示","はい","設定から表示密度を切り替え可能","未","","4","みになびの代表的な調整機能で画像説明と相性がよい","みになび節へ標準／コンパクト比較画像を追加"
"v2.5.4","共通","改善","ガイド・ゾーンデータのキャッシュと設定保存を軽量化","はい","現行実装へ継承","未","","1","内部性能改善で利用方法に影響しない","追記不要"
"v2.5.5","PoE1","機能","Readyによる黄昏の岸辺入場時のタイマー自動開始","はい","Reset後にReadyへして開始ログを待つ","済","PoE1限定／Readyによるタイマー自動スタート","","",""
"v2.6.2","共通","機能","画像Cheat sheetsの登録・オーバーレイ表示","はい","画像・位置・サイズ・透過率・ホットキーを設定可能","済","共通機能／Cheat sheets","","",""
"v2.7.0","PoE1","機能","現在Act／全ActのジェムショップRegex生成と長押し検索","はい","PoB取得ジェムからRegexを生成し検索欄へ貼り付ける","済","PoE1限定／現在Act用のジェムショップ検索","","",""
"v2.7.0","共通","機能","各パネルの最小化と『パネルを全て表示』で復元","はい","切り離しパネルも最小化可能","一部","共通機能／必要な部分だけ表示する折りたたみUI","4","折りたたみ・最小化・切り離しの違いを説明すると迷いにくい","パネル最小化と一括復元を追記"
"v2.7.0","PoE1","機能","Ctrl＋マウスホイールでスタッシュタブ切り替え","はい","スタッシュを開いている時にグローバル入力で切り替える","未","","4","存在を知らないと発見しにくい便利機能","PoE1限定へ『スタッシュタブ切り替え』節を追加"
"v2.8.0","共通","変更","ぽえなび／ぽえとれを起動モードとして分離","はい","選んだ機能だけを起動し不要処理を省く","済","この記事で説明するもの／初回設定","","",""
"v3.0.0","共通","機能","訪問回数・進行フラグの手動リセット","はい","タイマーや設定を維持したままガイド進行だけ初期化","未","","4","別キャラクター開始時など、ガイドがずれた時の復旧に重要","トラブルシューティングへガイド進行リセット手順を追加"
"v3.1.0","共通","機能","任意チャットコマンドとホットキー登録","はい","名前・コマンド・ホットキー・有効状態を登録可能","済","共通機能／任意チャットコマンド","","",""
"v3.1.0","共通","表示","マップ拡大・切り離し画面をモニター作業領域内へ自動補正","はい","負の座標や解像度差を含め画面外表示を防ぐ","未","","1","自動補正なので操作説明は不要","追記不要"
"v3.1.0","共通","表示","ぽえなび／ぽえとれのヘッダーアイコンをテーマ別に統一","はい","現行UIへ反映済み","未","","1","見た目の変更で使い方説明は不要","追記不要"
"v3.1.1","共通","安全","ゲーム操作系ホットキーはPoEが前面の時だけ有効","はい","タイマー・Cheat sheets・クリックスルー等は非アクティブ時も利用可能","未","","4","ホットキーが反応しない時の原因理解と誤操作防止に有用","ホットキー節へ『PoE前面時のみ動く操作』と例外を追記"
"v3.1.2","共通","互換性","Linux／WaylandでXWaylandのxcbを自動選択","はい","Linuxは非公式サポートでWindows依存機能は保証外","未","","1","noteはWindows利用者向けのため不要","追記不要"
"v3.2.1","共通","変更","起動時にPoE1／PoE2を先に選び、その後にぽえなび／ぽえとれを選択","はい","未対応モードは選択不可として表示","一部","初回設定／起動モードを選ぶ・PoE1またはPoE2を選ぶ","5","下書きの手順順が現行UIと逆で、そのままでは初回利用者を迷わせる","初回設定の手順をPoEバージョン選択→機能選択の順へ並べ替え"
"v3.2.3","共通","安全","多重起動を防止し、2回目は起動済み画面を前面表示","はい","モード切り替え再起動は許可","未","","3","二重起動しない挙動を不具合と誤解しにくくなる","初回設定またはトラブルシューティングへ短く追記"
