"リリースノートの版","区分","種別","機能・変更項目","最新版にも存在する機能か否か","現存判定の補足","note下書きに既に説明が含まれているか","note下書きの該当箇所","未記載・一部記載時の説明推奨度_1to5","推奨理由","noteへの追記案"
"v2.6.2","PoE1","修正","UniqueのCorrupted Implicitを検索条件へ反映","はい","ImplicitとCorrupted状態を解析・表示","一部","アイテムに合わせた検索条件の自動生成","2","自動処理の細部なので一覧へ含める程度でよい","Implicit／Corruptedの代表例として現状の記載を維持"
"v2.6.2","PoE1","改善","乳白色オイルを含むAnointmentを検索条件へ表示","はい","Anointment候補と公式Trade optionを保持","未","","2","該当アイテム利用者には有用だが対象が限定的","特殊条件の例としてAnointmentを1語追加"
"v2.6.3","PoE1","修正","PoE 3.29のアイテムコピー形式変更へ対応","はい","現行コピー形式を解析","未","","1","過去互換修正で利用方法に影響しない","追記不要"
"v2.7.0","PoE1","機能","未鑑定Uniqueの候補選択・価格検索","はい","ベースから候補を抽出しカード表示、1件なら自動選択","済","未鑑定ユニークとVariantの選択","","",""
"v2.7.0","PoE1","機能","PoE公式CDNから候補アイコンを取得","はい","候補カード・対象アイテム画像へ利用","一部","未鑑定ユニークとVariantの選択","2","候補画面の画像枠で伝わるため本文は短くてよい","候補カードの画像予定枠を追加"
"v2.7.0","PoE1","機能","Mod検索条件の一括解除","はい","v3.2.2で一括選択／解除トグルへ拡張","未","","4","多数条件を緩める主要操作で、検索手順に直結する","検索条件を調整する節へ一括選択／解除ボタンを追記"
"v2.7.0","PoE1","機能","Mod本文クリックで条件ON／OFF","はい","チェックボックス以外に本文クリックでも切り替え可能","未","","4","画面操作として発見しづらく便利","検索条件を調整する節へクリック操作を追記"
"v2.7.0","PoE1","機能","計算元Modを行下へ展開","はい","現在の『計算元Modを表示』で確認可能","済","検索条件を調整する","","",""
"v2.7.0","PoE1","機能","Mod数値の許容率を選択","はい","Mod数値プルダウンで初期範囲を調整","未","","5","検索結果件数へ大きく影響する重要操作","『Mod数値』プルダウンの意味と例を独立して説明"
"v2.7.0","PoE1","改善","取得件数を最低20件へ拡大","はい","段階取得・追加取得を現行実装へ継承","未","","1","内部取得件数で利用説明は不要","追記不要"
"v2.7.0","PoE1","機能","同一Seller・同一価格・同一通貨の連投を×件へ集約","はい","API Seller Collapseとローカル集約を併用","済","公式Tradeの出品価格","","",""
"v2.7.1","PoE1","改善","3.29の新Mod方式とUnique検索UIへ対応","はい","公式Trade metadataと専用条件へ反映","未","","1","個別互換修正で利用説明は不要","追記不要"
"v2.7.1","PoE1","修正","未鑑定Unique候補の不具合と画像欠落を修正","はい","現行の候補抽出・画像取得へ反映","未","","1","過去の不具合修正で説明不要","追記不要"
"v2.8.0","共通","変更","ぽえなび／ぽえとれを起動モードとして分離","はい","ぽえとれではClient.txt監視を行わず軽量起動","一部","この記事で説明するもの／初回設定","3","ぽえとれにClient.txt設定が不要な理由を理解できる","ぽえとれは通常Client.txtを使わないと初回設定へ追記"
"v2.8.0","PoE1","改善","Cluster Jewel検索精度の改善","はい","Enchant・パッシブ数・Socket等の専用条件を表示","一部","アイテムに合わせた検索条件の自動生成","2","カテゴリ専用条件の代表例として既に触れている","現状の記載を維持"
"v2.8.0","PoE1","修正","固定数字を含むUnique Modの検索値を修正","はい","後続の複数数値Mod解析へ発展","未","","1","内部精度修正で利用説明は不要","追記不要"
"v2.8.1","PoE1","機能","品質21%以上の武器・防具・アクセサリーは完成品検索にも品質条件を表示","はい","高品質品のみ条件を初期表示","一部","アイテムに合わせた検索条件の自動生成","2","自動条件の詳細で対象が限定的","品質条件の例として現在の記載を維持"
"v2.8.2","PoE1","変更","ぽえとれを紫テーマへ統一","いいえ","v3.3.0で暗色背景＋青緑アクセントへ刷新","未","","1","現行UIに存在しないため説明不要","追記不要"
"v2.9.0","PoE1","機能","関連アイテムのpoe.ninja価格一覧","はい","関連定義があるアイテムで同系統・報酬品を表示","未","","5","ボス入場券などの判断に役立つ主要機能で、下書きから完全に抜けている","『関連アイテム価格』節とスクリーンショット枠を追加"
"v2.9.0","PoE1","設定","検索結果フォントサイズを小／中／大から選択","はい","検索結果・Map Checkへ反映","済","共通機能／表示設定","","",""
"v2.9.0","PoE1","表示","Modの生成元タグ（悪名高い・Incursion・Delve・Essence等）","はい","生成元情報を表示","一部","アイテムに合わせた検索条件の自動生成","3","Mod行の読み方として有用","Mod行のタグが生成元を示すことを追記"
"v2.9.0","PoE1","改善","Map・Cluster Jewel等のカテゴリ別検索条件を拡充","はい","現行のカテゴリ専用条件へ反映","一部","アイテムに合わせた検索条件の自動生成","2","代表カテゴリは記載済み","追記不要"
"v2.9.3","PoE1","改善","Flask検索条件を見直し","はい","現行のFlask専用条件へ反映","未","","1","内部精度改善で説明不要","追記不要"
"v2.9.1","PoE1","表示","武器DPS・pDPS・eDPSをヘッダーへ明示","はい","物理・元素・合計DPSを表示","一部","アイテムに合わせた検索条件の自動生成","3","武器価格検索時に表示値の意味を理解しやすい","武器DPS表示と品質20%換算pDPSを補足"
"v2.9.5","PoE1","操作","Escで検索結果を閉じてPoEへ戻る","はい","通常・OBS検索結果の閉じ操作として継続","未","","5","頻繁に使う基本操作なのに下書きから抜けている","操作モード説明へEscで閉じる操作を追記"
"v2.9.6","PoE1","改善","Replica Dragonfang's Flight等の検索Modを改善","はい","現行のUnique固定・可変Mod metadataへ反映","未","","1","個別精度改善で説明不要","追記不要"
"v3.0.0","PoE1","機能","Foulborn（痕跡）Uniqueを通常Uniqueと区別して検索","はい","Foulborn base／implicitを専用判定","未","","2","特殊カテゴリ利用者には有用だが基本記事では優先度低め","対応特殊アイテムの例へFoulbornを追加"
"v3.0.0","PoE1","改善","関連アイテム価格表示を改善","はい","現行の関連品UIへ継承","未","","2","v2.9.0の関連アイテム節へ統合すればよい","関連アイテム価格節へまとめる"
"v3.0.1","PoE1","性能","先頭結果を段階表示して価格検索を高速化","はい","先頭10件を先行表示し後続結果を更新","未","","2","操作方法は変わらないが、結果が後から増える理由を説明できる","出品一覧は先行表示後に追加更新される場合があると注記"
"v3.1.0","PoE1","機能","Map Checkで危険・警告・有利に色分け","はい","Map／Invitation／Contract／Blueprint／Logbookに対応","済","Map Modチェック","","",""
"v3.1.0","PoE1","機能","Map Checkの3プロファイル・検索・絞り込み・未確認Mod管理","はい","ビルド別の判定を保存可能","済","Map Modチェック","","",""
"v3.1.0","共通","機能","任意チャットコマンド","はい","両モード共通","済","共通機能／任意チャットコマンド","","",""
"v3.1.0","共通","機能","最小化時のタスクトレイ常駐","はい","トレイから表示・設定・終了、クリックで復帰","未","","5","閉じたように見える挙動と終了方法を説明する必要がある","共通機能へ『タスクトレイ常駐』節を追加"
"v3.1.0","PoE1","機能","Vaal Skill Gemを判定しVaal版として検索","はい","Gem Variant条件へ反映","一部","アイテムに合わせた検索条件の自動生成","2","Variantの例として既に記載済み","追記不要"
"v3.1.0","PoE1","機能","Orb of DeliriumをMap Area別に検索","はい","エリア別アイテムとして表示・検索","未","","1","限定的な特殊品対応で基本記事には不要","追記不要"
"v3.1.0","共通","表示","検索・Map Check・画像画面をモニター作業領域内へ自動補正","はい","画面外へ出ないよう補正","未","","1","自動挙動で説明不要","追記不要"
"v3.1.1","PoE1","操作","Mod数値許容範囲変更後も手動チェック状態を維持","はい","再計算時にユーザー選択を保持","未","","2","操作の安心材料だが本文で説明する必要性は低い","追記不要"
"v3.1.1","PoE1","改善","数値範囲を元アイテム値から再計算","はい","手入力値の連鎖を避ける","未","","1","内部挙動で説明不要","追記不要"
"v3.1.1","PoE1","表示","完成品Modを主要性能→pseudo→特殊Modへ整理","はい","v3.3.1でPrefix／Suffix系統順へさらに更新","一部","アイテムに合わせた検索条件の自動生成","2","現行順序を厳密に説明する必要性は低い","Mod一覧は価値判断しやすい順に整理されると短く補足"
"v3.1.1","PoE1","表示","防具の最終AR／EV／ES／Wardと武器DPSを優先","はい","主要性能条件を上部へ表示","一部","アイテムに合わせた検索条件の自動生成","3","装備検索画面の読み方として役立つ","主要性能が上部へ出ることを追記"
"v3.1.1","PoE1","機能","計算元のPrefix／Suffix／Tierを確認","はい","計算元Mod表示へ付記","一部","検索条件を調整する","3","計算元Mod表示の用途をより具体化できる","Prefix／SuffixとTierも確認できると追記"
"v3.1.1","PoE1","改善","元素耐性合計を通常表示し個別最大耐性を隠し候補へ移動","はい","pseudo条件と隠し候補を使い分ける","未","","2","高度な検索例としては有用だが基本説明では低め","検索条件例へ耐性合計を残し詳細は省略"
"v3.1.1","PoE1","変更","Socket数を除外しLink数を編集可能チップへ統合","はい","5L／6Lは初期ON、1〜4Lは初期OFF","一部","アイテムに合わせた検索条件の自動生成","3","リンク条件の初期ON規則は価格差に直結する","Link数チップと初期ON条件を追記"
"v3.1.1","PoE1","表示","Mod数に応じ検索画面高さを自動調整","はい","画面内に収まらない時だけスクロール","未","","1","自動レイアウトで説明不要","追記不要"
"v3.1.1","共通","安全","アプリ自身のキー送信をホットキー誤発火から除外","はい","Ctrl+C等の自己送信を除外","未","","1","内部安全対策で説明不要","追記不要"
"v3.1.1","共通","安全","価格検索・Map Check・チャットコマンドはPoE前面時だけ有効","はい","Cheat sheets等は例外","未","","4","ホットキーが反応しない時の原因理解に重要","トラブルシューティングへPoE前面条件を追記"
"v3.2.0","PoE1","機能","AUTO-HIDE価格検索モード","はい","保持キー・マウス移動・操作モード移行に対応","済","2種類の価格検索モード／AUTO-HIDE","","",""
"v3.2.0","PoE1","設定","AUTO-HIDEの保持キーと通常キーを変更","はい","Ctrl／Altと任意キーを設定可能","一部","初回設定／ホットキーを確認する","3","操作感を左右する主要設定","AUTO-HIDEの保持キー設定を追記"
"v3.2.0","PoE1","機能","Mercenary's Warrant（傭兵の召喚状）検索","はい","Build・Main Skill・Support・Tierを解析しSupport表示を切り替える","未","","4","現行リーグ固有だが操作が特殊で、使う人には説明価値が高い","特殊アイテム検索例として傭兵の召喚状を追加"
"v3.2.0","共通","修正","PoEへ戻る際に最大化状態を維持","はい","最小化時だけ復元処理を行う","未","","1","不具合修正で説明不要","追記不要"
"v3.2.1","PoE1","改善","Scarabのpoe.ninja参考価格を専用カテゴリから表示","はい","Scarabカテゴリで照合","未","","1","自動価格照合の細部で説明不要","追記不要"
"v3.2.1","PoE1","修正","Divination Cardの日英対応を安定化","はい","検証済み識別子で解決","未","","1","内部精度修正で説明不要","追記不要"
"v3.2.1","共通","変更","起動時にPoE1／PoE2→ぽえなび／ぽえとれの順で選択","はい","PoE2ではぽえとれ選択不可","一部","初回設定／起動モードでぽえとれを選ぶ","5","下書きの手順が現行UIと異なり、PoE2対応状況の説明にも影響する","初回設定をPoEバージョン選択→ぽえとれ選択の順へ修正"
"v3.2.2","PoE1","機能","Mod条件を全選択／全解除するトグル","はい","基本条件は対象外","未","","5","多条件検索を調整する基本操作で下書きから抜けている","検索条件を調整する節へボタンの動作と対象範囲を追記"
"v3.2.3","共通","安全","多重起動防止と起動済み画面の前面化","はい","2つ目は終了しモード切り替え再起動は許可","未","","3","起動しない挙動を不具合と誤解しにくくなる","トラブルシューティングへ追記"
"v3.2.3","PoE1","機能","検索結果位置をスタッシュ側／インベントリ側で別々に記憶","はい","手動ドラッグ時だけ保存し設定からリセット可能","済","共通機能／表示設定","","",""
"v3.2.4","PoE1","機能","Chart（海図）の価格検索","はい","海域Exact切替・Area Level・Quantity等の専用条件へ対応","未","","4","通常アイテムと違う専用条件があり、該当利用者に有用","特殊アイテム検索例として海図とExact切替を追加"
"v3.2.4","PoE1","改善","Conqueror Fortress等のMap Mod認識を拡充","はい","Map CheckとTrade条件へ反映","未","","1","個別認識修正で説明不要","追記不要"
"v3.3.0","PoE1","表示","暗色背景＋青緑アクセントへ画面デザイン刷新","はい","現行テーマ","未","","1","スクリーンショットで伝わるため本文説明不要","追記不要"
"v3.3.0","PoE1","表示","Mod・検索操作・価格一覧の列幅・余白・文字サイズを整理","はい","小／中／大に応じて調整","一部","共通機能／表示設定","1","操作方法を変えない見た目の改善","追記不要"
"v3.3.0","PoE1","改善","MagebloodのFlask本数からpoe.ninja Variantを判定","はい","実Mod値でVariantを照合","未","","1","自動精度改善で説明不要","追記不要"
"v3.3.0","PoE1","改善","使用不可ヘッダーを持つアイテムも解析","はい","該当コピー形式へ対応","未","","1","内部互換修正で説明不要","追記不要"
"v3.3.0","PoE1","表示","長いMod文のTooltipと最小／最大欄の操作性改善","はい","Mod本文Tooltipと入力欄を提供","未","","3","長文が省略された時の確認方法として役立つ","Mod本文へカーソルを置くと全文を確認できる旨を追記"
"v3.3.1","PoE1","表示","Mod表示順を最終性能→Prefix→Suffix→その他へ整理","はい","pseudo・Crafted・Fracturedも元系統へ分類","一部","アイテムに合わせた検索条件の自動生成","2","検索精度の背景であり細かな順序説明は不要","必要なら画像キャプションで順序を示す"
"v3.3.2","PoE1","改善","複数数値Modの検索初期値をStatごとに適正化","はい","固定数字を除外し追加ダメージは平均等を採用","未","","1","内部精度改善で利用説明不要","追記不要"
"v3.3.3","PoE1","機能","OBS用の常設検索結果ウィンドウ","はい","待機中は細いタイトルバー、検索時に同じHWNDで展開","未","","5","配信者向けの主要機能で設定とOBS側の選択方法が必要","『OBS配信』節と設定・OBSウィンドウ選択の画像枠を追加"
"v3.3.3","PoE1","操作","OBS検索結果をEsc・画面外クリック・×で待機状態へ戻す","はい","通常画面と同様の閉じ操作","未","","4","OBSモード利用時の基本操作","OBS配信節へ閉じ方を追記"
"v3.3.3","PoE1","表示","出品価格をChaos／Divine通貨アイコンで表示し価格列を拡張","はい","4桁価格を含め表示","済","公式Tradeの出品価格／画像予定の説明","","",""
"v3.3.4","PoE1","機能","最小／最大入力欄をマウスホイールで±1","はい","小数部分を保ち、空欄・無効欄は変更しない","未","","5","頻繁な条件調整を大幅に楽にする新しい基本操作","検索条件を調整する節へホイール上下の操作例を追加"
